Contenido,Título del video,Tiempo de publicación del video,Duración,Vistas,Tiempo de reproducción (horas),Suscriptores,Impresiones,Tasa de clics de las impresiones (%)
sMd0opDs2Ss,Torah Kids Puppets | Estudiemos las Parashot - Parashat 2 Nóaj פרשת ב נח,"Oct 25, 2021",769,244,18.2467,4,3939,3.96
ve0VT8f00fY,Torah Kids Puppets | Estudiemos las Parashot - Parashat 3 Lej Lejá פרשת ג לך לך,"Feb 14, 2022",797,244,16.6688,7,2848,6.07
ntU9gSXIU9w,Torah Kids Puppets | Cuentos de la Tradición - Todo es para bien,"Dec 18, 2023",280,244,7.1175,6,5659,2.37
FAgIYC7KhpU,Torah Kids Puppets | Parashat 15 Bo - פרשת טו בא,"Feb 18, 2024",758,236,13.7559,1,2987,4.55
abrhe9Rg-EI,Torah Kids Puppets | Pesaj ¿Que significa la Palabra Pesaj? | פסח,"Mar 28, 2021",353,235,8.8646,6,1600,5.69
GOfB9q9vb_8,Torah Kids Puppets | Parashat 8 Vaishlaj פרשת ח וישלח,"Dec 2, 2023",326,232,7.1798,3,3530,3.4
DfeuzcRBfto,Torah Kids Puppets | Parashat 22 Vayakel - פרשת כב ויקהל,"Apr 7, 2024",360,231,8.2145,4,3851,4.31
AwKQLzKyW5s,Torah Kids Puppets | Parashat 16 Beshalaj - פרשת טז בשלח,"Mar 29, 2024",687,230,12.7529,2,7431,2.15
zkBk1z0u5-Q,Torah Kids Puppets | Estudiemos las Parashot - Parashat 5 Jaié Saráh פרשת ה חיי שרה,"Nov 10, 2023",359,230,7.5611,12,2935,4.16
SDqAXlAfFj4,Torah Kids Puppets | Parashat 14 Vaera,"Jan 13, 2024",60,222,2.1753,1,3796,2.48
0Fx9rKWegsc,¿Por qué salir de Egipto NO fue el final? ⚔️ | Cuento de Pesaj para niños,"Apr 1, 2026",284,221,6.0952,0,2146,6.38
r7fX55dNlqc,Torah Kids Puppets | Parashat 14 Vaerá - פרשת יד וארא,"Feb 3, 2024",516,221,10.4543,3,4511,2.28
aTa3lcWLwQ0,¿Cómo empezó la esclavitud? 🧱 La trampa secreta del Faraón | Sipurei Pesaj Ep.1,"Apr 2, 2026",429,218,6.9795,0,3423,3.13
K8MVkjuptEo,Torah Kids Puppets | El Mar Rojo ¿Por que se abrió? | ים סוף,"Apr 10, 2021",440,217,14.5903,1,1674,6.21
NwwUrSSDRvQ,Torah Kids Puppets | Parashat 24 Vaikrá - פרשת כד ויקרא,"Apr 14, 2024",329,216,7.1843,2,3760,3.59
g2akTy5BB0Q,Torah Kids Puppets | Parashat 20 Tetzavé - פרשת כ תצוה,"Apr 3, 2024",381,209,9.9203,4,2331,5.49
yk8hXQzolOM,Torah Kids Puppets | Parashat 23 Pekudéi - פרשת כג פקודי,"Apr 8, 2024",282,208,7.1746,2,3319,4.25
8UBu-rCS5sA,Torah Kids Puppets | Parashat 18 Mishpatim - פרשת יח משפטים,"Apr 3, 2024",518,205,8.5718,5,3333,3.78
vS3C7F1Okm4,Torah Kids Puppets | Benny Has a Little Dreidel - Hanukkah Children's Song -,"Jan 1, 2025",125,200,3.3887,2,2793,4.55
1XCQgq6Eouo,Torah Kids Puppets | Perashá especial Parshá HaJodesh #tora#aprendizajedivertido#niñosfelices#funny,"Apr 3, 2025",79,193,1.0749,0,2099,2.62
EW5JWXBlC78,Torah Kids Puppets | Pesaj | פסח,"Mar 29, 2021",590,189,9.1056,8,1240,6.37
WsR2TAyVZoY,Torah Kids Puppets | Parashat 12 Vaieji - פרשת יב ויחי,"Dec 29, 2023",302,186,6.6213,4,2223,4.41
SsW9fe9eWvs,Abib o Aviv ¿Que es? ¿Que significa? Con Arush | Torah Kids Puppets | ראש חודש אביב \ ניסן | 🌿🌼,"Mar 16, 2021",287,180,5.8247,2,2596,4.28
LeF_n_OXbNo,Torah Kids Puppets | Parashat 9 Vaieshev,"Dec 9, 2023",288,178,4.8945,3,2326,4.6
hyr1-ef09HM,Torah Kids Puppets | Parsha en un minuto 22 Vayakel #tora#aprendizajedivertido#niñosfelices#funny,"Mar 17, 2024",43,172,1.0639,3,2749,1.13
biWskHeVKpU,Torah Kids Puppets | Parashat 7 Vaietzé פרשת ז ויצא,"Nov 25, 2023",434,170,7.5489,2,2464,2.92
bUu2W_fGqo8,Torah Kids Puppets | Estudiemos las Parashot - El Resumen de la Parashat con el Doc 1 Bereshit,"Oct 17, 2021",359,161,5.8834,1,4107,2.34
VfLg8ivtdFU,Torah Kids Puppets | Parashat 11 Vaigash - פרשת יא ויגש,"Dec 22, 2023",238,161,4.5728,1,2572,2.84
M4RI6h5RxyY,Torah Kids Puppets | Parsha en un minuto 26 Sheminí #tora#aprendizajedivertido#niñosfelices#funny,"Jun 9, 2024",43,161,0.9709,16,2562,2.19
C3NQV3plamY,Torah Kids Puppets | Parashat 10 Miketz - פרשת י מקץ,"Dec 21, 2023",360,155,4.3744,1,2662,4.02
rqyeTYOTRFM,Torah Kids Puppets | Parsha en un minuto 23 Pekudei #tora#aprendizajedivertido#niñosfelices#funny,"Mar 17, 2024",50,149,0.7792,0,1887,1.54
pNfv65TyKDY,Torah Kids Puppets | Parsha en un minuto 21 Ki tisa #tora#aprendizajedivertido#niñosfelices#funny,"Mar 17, 2024",49,148,1.0609,3,2270,1.41
ROVgp6HBYgI,Torah Kids Puppets | Vayikrá ¿Que es Va'Yikrá? | ויקרא 📜📖,"Mar 21, 2021",296,148,5.2549,1,931,8.7
EmSOWR29G9w,La Historia de Abraham: Lecciones de Fe y Familia,"Nov 18, 2024",22,147,0.4504,0,1449,1.93
jmtF9wiiqso,Sukkot Chistosadas - Yosef come los dátiles del Doc | Torah Kids Puppets,"Sep 27, 2021",26,146,0.8628,1,1058,8.13
ZwxOaHvYZ1Y,Torah Kids Puppets | Parsha Pará #tora#aprendizajedivertido#niñosfelices#funny,"Mar 21, 2025",88,143,0.8323,0,1243,2.57
VdY9Giv2laY,Torah Kids Puppets | Parashat 19 Terumáh - פרשת יט תרומה,"Apr 3, 2024",358,138,5.6976,1,2035,3.39
JgeYD242mdA,La Triste historia de la muerte de Sarah en Hebron,"Nov 18, 2024",28,133,0.5918,0,2412,1.24
